max_depth	min_split	min_bucket	ganancia_promedio
6	100	5	9557333
6	100	10	9792667
6	100	15	9835333
6	600	5	9560000
6	600	10	9793333
6	600	15	9838667
6	800	5	9609333
6	800	10	9852000
6	800	15	9982667
8	100	5	10317333
8	100	10	10194667
8	100	15	9521333
8	600	5	10244000
8	600	10	9854000
8	600	15	9573333
8	800	5	10384667
8	800	10	9990000
8	800	15	9601333
10	100	5	9692000
10	100	10	9624667
10	100	15	9080000
10	600	5	10029333
10	600	10	10037333
10	600	15	9304667
10	800	5	10116667
10	800	10	9992667
10	800	15	9404667
6	100	2	9203333
6	100	25	10510667
6	100	50	9966000
8	100	2	9998000
8	100	25	10026000
8	100	50	8987333
6	200	20	9982667
6	200	70	10003333
6	200	100	10067333
8	200	20	9689333
8	200	70	9199333
8	200	100	8774000
6	300	5	9557333
6	300	40	9907333
6	300	90	10140000
6	300	140	10048000
8	300	5	10234000
8	300	40	8732667
8	300	90	8862000
8	300	140	8682000
6	80	10	9704000
6	80	15	9763333
6	80	45	10057333
6	90	10	9792667
6	90	15	9853333
6	90	45	10057333
6	100	10	9792667
6	100	15	9835333
6	100	45	10057333
6	95	20	10014000
6	95	25	10510667
6	95	35	10143333
6	95	45	10057333
6	100	20	10014000
6	100	25	10510667
6	100	35	10126000
6	100	45	10057333
6	105	20	10014000
6	105	25	10510667
6	105	35	10126000
6	105	45	10057333
6	95	22	10094000
6	95	26	10186000
6	95	30	10220000
6	95	23	10197333
6	95	24	10382667
6	93	25	10510667
6	93	26	10186000
6	95	25	10510667
6	95	26	10186000
6	97	25	10510667
6	97	26	10186000
7	93	25	10539333
7	93	26	10370000
7	95	25	10520667
7	95	26	10351333
7	97	25	10540667
7	97	26	10371333
7	97	24	10192667
7	97	26	10371333
7	96	25	10520667
7	98	25	10540667
6	94	22	10094000
6	94	23	10197333
6	94	24	10382667
6	94	25	10510667
6	96	22	10094000
6	96	23	10197333
6	96	24	10382667
6	96	25	10510667
6	98	22	10094000
6	98	23	10197333
6	98	24	10382667
6	98	25	10510667
6	99	22	10094000
6	99	23	10197333
6	99	24	10382667
6	99	25	10510667
7	94	22	10180000
7	94	23	10118667
7	94	24	10208667
7	94	25	10539333
7	96	22	10161333
7	96	23	10100000
7	96	24	10172667
7	96	25	10520667
7	98	22	10161333
7	98	23	10120000
7	98	24	10192667
7	98	25	10540667
7	99	22	10161333
7	99	23	10120000
7	99	24	10192667
7	99	25	10540667
8	94	22	9817333
8	94	23	10405333
8	94	24	10316667
8	94	25	10022000
8	96	22	9818667
8	96	23	10386667
8	96	24	10280667
8	96	25	10003333
8	98	22	9809333
8	98	23	10397333
8	98	24	10291333
8	98	25	10014000
8	99	22	9809333
8	99	23	10397333
8	99	24	10291333
8	99	25	10002667
5	88	25	9556000
5	93	25	9556000
5	98	25	9556000
6	800	400	10107333
6	800	500	10491333
6	900	400	10148667
6	900	500	10491333
6	1000	400	10148667
6	1000	500	10491333
6	1100	400	10213333
6	1100	500	10622000
6	1200	400	10092667
6	1200	500	10531333
6	1200	600	10121333
6	1300	400	9983333
6	1300	500	10298000
6	1300	600	10000667
6	1400	400	10149333
6	1400	500	10464000
6	1400	600	10170000
6	1000	400	10148667
6	1000	500	10491333
6	1000	600	10121333
6	1100	400	10213333
6	1100	500	10622000
6	1100	600	10121333
6	1150	400	10092667
6	1150	500	10531333
6	1150	600	10121333
6	1060	450	10220667
6	1060	500	10552000
6	1060	550	10615333
6	1100	450	10290667
6	1100	500	10622000
6	1100	550	10615333
3	8752667
4	8806667
6	9724667
7	9833333
8	10373333
9	9859333
10	9677333
12	9179333
14	7715333
8	100	10510667
8	300	10494667
8	500	10416667
5	900	440	10356000
