max_depth	min_split	min_bucket	cp	ganancia_promedio
4	1000	1	-0.5	8721333
4	1000	3	-0.5	8850667
4	1000	5	-0.5	8841333
4	1000	8	-0.5	8804000
4	1000	10	-0.5	8762667
4	1000	12	-0.5	8763333
4	1000	15	-0.5	8786000
4	1000	20	-0.5	8732000
4	800	1	-0.5	8721333
4	800	3	-0.5	8850667
4	800	5	-0.5	8841333
4	800	8	-0.5	8804000
4	800	10	-0.5	8762667
4	800	12	-0.5	8763333
4	800	15	-0.5	8786000
4	800	20	-0.5	8792000
4	600	1	-0.5	8721333
4	600	3	-0.5	8850667
4	600	5	-0.5	8832667
4	600	8	-0.5	8795333
4	600	10	-0.5	8754000
4	600	12	-0.5	8754667
4	600	15	-0.5	8777333
4	600	20	-0.5	8783333
4	400	1	-0.5	8721333
4	400	3	-0.5	8850667
4	400	5	-0.5	8832667
4	400	8	-0.5	8795333
4	400	10	-0.5	8754000
4	400	12	-0.5	8754667
4	400	15	-0.5	8777333
4	400	20	-0.5	8783333
4	200	1	-0.5	8721333
4	200	3	-0.5	8850667
4	200	5	-0.5	8832667
4	200	8	-0.5	8795333
4	200	10	-0.5	8754000
4	200	12	-0.5	8754667
4	200	15	-0.5	8777333
4	200	20	-0.5	8775333
4	100	1	-0.5	8721333
4	100	3	-0.5	8850667
4	100	5	-0.5	8832667
4	100	8	-0.5	8795333
4	100	10	-0.5	8754000
4	100	12	-0.5	8754667
4	100	15	-0.5	8777333
4	100	20	-0.5	8775333
4	50	1	-0.5	8721333
4	50	3	-0.5	8850667
4	50	5	-0.5	8832667
4	50	8	-0.5	8795333
4	50	10	-0.5	8754000
4	50	12	-0.5	8754667
4	50	15	-0.5	8777333
4	50	20	-0.5	8775333
4	20	1	-0.5	8721333
4	20	3	-0.5	8850667
4	20	5	-0.5	8832667
4	20	8	-0.5	8801333
4	20	10	-0.5	8759333
4	20	12	-0.5	8758000
4	20	15	-0.5	8777333
4	20	20	-0.5	8775333
4	10	1	-0.5	8721333
4	10	3	-0.5	8850667
4	10	5	-0.5	8840000
4	10	8	-0.5	8804000
4	10	10	-0.5	8759333
4	10	12	-0.5	8758000
4	10	15	-0.5	8777333
4	10	20	-0.5	8775333
6	1000	1	-0.5	8906667
6	1000	3	-0.5	9566667
6	1000	5	-0.5	9620667
6	1000	8	-0.5	9648667
6	1000	10	-0.5	9625333
6	1000	12	-0.5	9555333
6	1000	15	-0.5	9706667
6	1000	20	-0.5	9842667
6	800	1	-0.5	8898000
6	800	3	-0.5	9555333
6	800	5	-0.5	9609333
6	800	8	-0.5	9872667
6	800	10	-0.5	9852000
6	800	12	-0.5	9775333
6	800	15	-0.5	9982667
6	800	20	-0.5	10050000
6	600	1	-0.5	8888667
6	600	3	-0.5	9516667
6	600	5	-0.5	9560000
6	600	8	-0.5	9818000
6	600	10	-0.5	9793333
6	600	12	-0.5	9715333
6	600	15	-0.5	9838667
6	600	20	-0.5	9945333
6	400	1	-0.5	8888667
6	400	3	-0.5	9516667
6	400	5	-0.5	9557333
6	400	8	-0.5	9815333
6	400	10	-0.5	9787333
6	400	12	-0.5	9698667
6	400	15	-0.5	9805333
6	400	20	-0.5	9986667
6	200	1	-0.5	8888667
6	200	3	-0.5	9516667
6	200	5	-0.5	9557333
6	200	8	-0.5	9811333
6	200	10	-0.5	9792667
6	200	12	-0.5	9717333
6	200	15	-0.5	9835333
6	200	20	-0.5	9982667
6	100	1	-0.5	8888667
6	100	3	-0.5	9516667
6	100	5	-0.5	9557333
6	100	8	-0.5	9796000
6	100	10	-0.5	9792667
6	100	12	-0.5	9717333
6	100	15	-0.5	9835333
6	100	20	-0.5	10014000
6	50	1	-0.5	8906667
6	50	3	-0.5	9544667
6	50	5	-0.5	9586667
6	50	8	-0.5	9735333
6	50	10	-0.5	9730000
6	50	12	-0.5	9667333
6	50	15	-0.5	9826667
6	50	20	-0.5	10088667
6	20	1	-0.5	8906667
6	20	3	-0.5	9552667
6	20	5	-0.5	9601333
6	20	8	-0.5	9722667
6	20	10	-0.5	9722667
6	20	12	-0.5	9654667
6	20	15	-0.5	9840000
6	20	20	-0.5	10093333
6	10	1	-0.5	8915333
6	10	3	-0.5	9570000
6	10	5	-0.5	9626667
6	10	8	-0.5	9734667
6	10	10	-0.5	9722667
6	10	12	-0.5	9654667
6	10	15	-0.5	9840000
6	10	20	-0.5	10093333
8	1000	1	-0.5	8855333
8	1000	3	-0.5	10062667
8	1000	5	-0.5	10278667
8	1000	8	-0.5	10268000
8	1000	10	-0.5	9751333
8	1000	12	-0.5	9386667
8	1000	15	-0.5	9460000
8	1000	20	-0.5	9481333
8	800	1	-0.5	8960000
8	800	3	-0.5	10103333
8	800	5	-0.5	10384667
8	800	8	-0.5	10586667
8	800	10	-0.5	9990000
8	800	12	-0.5	9525333
8	800	15	-0.5	9601333
8	800	20	-0.5	9688000
8	600	1	-0.5	8918667
8	600	3	-0.5	9972000
8	600	5	-0.5	10244000
8	600	8	-0.5	10464667
8	600	10	-0.5	9854000
8	600	12	-0.5	9386667
8	600	15	-0.5	9573333
8	600	20	-0.5	9613333
8	400	1	-0.5	8919333
8	400	3	-0.5	9967333
8	400	5	-0.5	10234000
8	400	8	-0.5	10536000
8	400	10	-0.5	10088000
8	400	12	-0.5	9594000
8	400	15	-0.5	9483333
8	400	20	-0.5	9608667
8	200	1	-0.5	8918667
8	200	3	-0.5	9988000
8	200	5	-0.5	10282667
8	200	8	-0.5	10518667
8	200	10	-0.5	10032667
8	200	12	-0.5	9570667
8	200	15	-0.5	9467333
8	200	20	-0.5	9689333
8	100	1	-0.5	8920000
8	100	3	-0.5	9994667
8	100	5	-0.5	10317333
8	100	8	-0.5	10594667
8	100	10	-0.5	10194667
8	100	12	-0.5	9684667
8	100	15	-0.5	9521333
8	100	20	-0.5	9802667
8	50	1	-0.5	8949333
8	50	3	-0.5	9940667
8	50	5	-0.5	10241333
8	50	8	-0.5	10461333
8	50	10	-0.5	10114667
8	50	12	-0.5	9498000
8	50	15	-0.5	9484000
8	50	20	-0.5	9762000
8	20	1	-0.5	8883333
8	20	3	-0.5	9950000
8	20	5	-0.5	10270667
8	20	8	-0.5	10476667
8	20	10	-0.5	10128667
8	20	12	-0.5	9535333
8	20	15	-0.5	9527333
8	20	20	-0.5	9818000
8	10	1	-0.5	8834667
8	10	3	-0.5	9935333
8	10	5	-0.5	10269333
8	10	8	-0.5	10505333
8	10	10	-0.5	10128667
8	10	12	-0.5	9535333
8	10	15	-0.5	9527333
8	10	20	-0.5	9818000
10	1000	1	-0.5	9092000
10	1000	3	-0.5	9910667
10	1000	5	-0.5	10218000
10	1000	8	-0.5	9869333
10	1000	10	-0.5	9780000
10	1000	12	-0.5	9384000
10	1000	15	-0.5	9407333
10	1000	20	-0.5	9290000
10	800	1	-0.5	9140667
10	800	3	-0.5	9738667
10	800	5	-0.5	10116667
10	800	8	-0.5	9962667
10	800	10	-0.5	9992667
10	800	12	-0.5	9548667
10	800	15	-0.5	9404667
10	800	20	-0.5	9346000
10	600	1	-0.5	9039333
10	600	3	-0.5	9554000
10	600	5	-0.5	10029333
10	600	8	-0.5	9771333
10	600	10	-0.5	10037333
10	600	12	-0.5	9478667
10	600	15	-0.5	9304667
10	600	20	-0.5	9082000
10	400	1	-0.5	9034000
10	400	3	-0.5	9497333
10	400	5	-0.5	9714667
10	400	8	-0.5	9454667
10	400	10	-0.5	10009333
10	400	12	-0.5	9370000
10	400	15	-0.5	8964000
10	400	20	-0.5	9039333
10	200	1	-0.5	9056000
10	200	3	-0.5	9426667
10	200	5	-0.5	9699333
10	200	8	-0.5	9320000
10	200	10	-0.5	9642000
10	200	12	-0.5	9360667
10	200	15	-0.5	9110667
10	200	20	-0.5	9136667
10	100	1	-0.5	8937333
10	100	3	-0.5	9390000
10	100	5	-0.5	9692000
10	100	8	-0.5	9292667
10	100	10	-0.5	9624667
10	100	12	-0.5	9331333
10	100	15	-0.5	9080000
10	100	20	-0.5	9049333
10	50	1	-0.5	8896000
10	50	3	-0.5	9318667
10	50	5	-0.5	9678000
10	50	8	-0.5	9066000
10	50	10	-0.5	9384667
10	50	12	-0.5	9020667
10	50	15	-0.5	8994667
10	50	20	-0.5	9042667
10	20	1	-0.5	8861333
10	20	3	-0.5	9352667
10	20	5	-0.5	9767333
10	20	8	-0.5	9200000
10	20	10	-0.5	9560667
10	20	12	-0.5	9126000
10	20	15	-0.5	9127333
10	20	20	-0.5	9104000
10	10	1	-0.5	8870000
10	10	3	-0.5	9388667
10	10	5	-0.5	9822667
10	10	8	-0.5	9124000
10	10	10	-0.5	9560667
10	10	12	-0.5	9126000
10	10	15	-0.5	9127333
10	10	20	-0.5	9104000
12	1000	1	-0.5	9294667
12	1000	3	-0.5	9792000
12	1000	5	-0.5	10254667
12	1000	8	-0.5	10032000
12	1000	10	-0.5	9548000
