fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220522 160041	0.0549266344038188	4652	676	10	5	0	117
20220522 160139	-0.0788060798964579	5134	790	18	5	9137000	118
20220522 160241	-0.491956730865058	5677	342	13	5	9077000	119
20220522 160343	-0.270564065632061	3215	240	11	5	9518000	120
20220522 160417	-0.598247543926118	7776	1156	4	5	8355000	121
20220522 160512	-0.904639996278274	4181	968	12	5	9250000	122
20220522 160547	0.0238600446304191	3534	1041	14	5	0	123
20220522 160637	-0.328621806218871	7099	1741	20	5	8165000	124
20220522 160705	-0.813512803337653	2956	120	3	5	8767000	125
20220522 160757	-0.207705721266393	6989	481	9	5	8248000	126
20220522 160841	-0.763581209098629	6105	1950	6	5	8955000	127
20220522 160933	-0.152497184230015	4693	1522	12	5	8676000	128
20220522 161056	-0.93259073543828	4996	39	19	5	8592000	129
20220522 161124	-0.0147867400525137	1406	424	3	5	8692000	130
20220522 161213	-0.673842619229108	7014	1717	16	5	8199000	131
20220522 161304	-0.722297705081292	6635	1825	14	5	8783000	132
20220522 161336	-0.0860827484113923	842	55	3	5	8888000	133
20220522 161449	-0.112776751609263	6127	140	20	5	8976000	134
20220522 161554	-0.361622156531361	3638	70	11	5	9138000	135
20220522 161631	-0.304277208049954	1706	454	4	5	9220000	136
20220522 161701	-0.296768820282408	4719	360	3	5	8767000	137
20220522 161820	-0.228316519772953	1755	172	20	5	9774000	138
20220522 162001	-0.257987366712818	19	2	16	5	8040000	139
20220522 162032	-0.213962480714239	2365	78	3	5	8767000	140
20220522 162132	-0.292322269022536	2524	1254	20	5	9103000	141
20220522 162225	-0.838322314770546	4721	1986	20	5	8955000	142
20220522 162311	-0.460924404936084	2311	52	6	5	9572000	143
20220522 162347	-0.535199281903582	3255	177	4	5	8918000	144
20220522 162417	-0.448580982435857	3867	1557	3	5	7734000	145
20220522 162602	-0.493110410232009	1441	2	20	5	9376000	146
20220522 162733	-0.400640558560777	1590	2	15	5	9541000	147
20220522 162804	-0.876268991751927	7012	1232	3	5	8274000	148
20220522 162942	-0.233201638682635	4114	1	20	5	8769000	149
20220522 163013	-0.468879254841775	154	1	3	5	8910000	150
20220522 163120	-0.154334821589098	1681	527	20	5	10698000	151
20220522 163222	-0.120664520681942	1752	838	20	5	10288000	152
20220522 163407	-0.144191405435893	1943	1	20	5	9510000	153
20220522 163512	-0.171329560304108	1496	743	20	5	9744000	154
20220522 163619	-0.131969386667964	2392	490	20	5	10037000	155
20220522 163720	-0.152279769713375	2158	1075	20	5	9743000	156
20220522 163824	-0.155507256538256	757	376	10	5	9674000	157
20220522 163932	-0.87958064996066	1210	559	19	5	10398000	158
20220522 164016	-0.903140538037297	560	266	5	5	10824000	159
20220522 164515	-0.909563494977493	83	37	19	5	3639000	160
20220522 164558	-0.881119747601647	1303	579	6	5	10243000	161
20220522 164702	-0.859726487604432	2645	764	19	5	10033000	162
20220522 164734	-0.920102898607752	1753	349	3	5	8767000	163
20220522 164819	-0.882780998736453	263	130	5	5	10630000	164
20220522 164921	-0.867941485583963	680	333	8	5	10241000	165
20220522 165024	-0.882379296821884	5518	576	20	5	9137000	166
20220522 165129	-0.875761111559819	1456	726	15	5	10001000	167
20220522 165239	-0.149023918709457	1035	500	17	5	10377000	168
20220522 165347	-0.828181166263033	1168	584	20	5	10189000	169
20220522 165502	-0.156065734492284	677	328	20	5	10057000	170
20220522 165609	-0.437687228132295	2811	513	19	5	10004000	171
20220522 165717	-0.453368002195772	1072	531	13	5	10291000	172
20220522 165818	-0.41310276068857	2015	626	10	5	9773000	173
20220522 165927	-0.340139211283783	1854	502	20	5	10145000	174
20220522 170029	-0.882657274371699	2081	1039	20	5	9781000	175
20220522 170133	-0.492050972487071	1845	919	16	5	10166000	176
20220522 170243	-0.556740206117515	1223	596	15	5	10100000	177
20220522 170338	-0.133734235119212	6645	1167	20	5	8918000	178
20220522 170448	-0.698036378761187	1284	604	18	5	10149000	179
20220522 170533	-0.766604043903385	571	284	5	5	10894000	180
20220522 170628	-0.139486593731549	4617	1998	20	5	8858000	181
20220522 170714	-0.833057889962622	583	288	5	5	10894000	182
20220522 170820	-0.447960876230269	1368	298	10	5	10734000	183
20220522 170920	-0.313600972404738	5320	2000	11	5	8955000	184
20220522 171009	-0.639408971751638	630	308	6	5	10761000	185
20220522 171105	-0.99976276706929	3962	1981	12	5	8921000	186
20220522 171208	-0.275846834418931	5479	538	18	5	9137000	187
20220522 171310	-0.640810030381913	1641	500	10	5	10734000	188
20220522 171417	-0.999978213750269	1737	652	20	5	9875000	189
20220522 171514	-0.648418547083632	2977	1486	11	5	8999000	190
20220522 171602	-0.789433520110767	7998	1	7	5	8315000	191
20220522 171702	-0.489210233121732	5181	903	19	5	9163000	192
20220522 171806	-0.887786371493164	2483	531	12	5	10028000	193
20220522 171915	-0.482708201329606	1708	444	18	5	10462000	194
20220522 172020	-0.52673436491998	1807	289	11	5	10288000	195
20220522 172111	-0.709251286010007	934	462	6	5	10801000	196
20220522 172142	-0.176488057029262	7997	1895	3	5	8355000	197
20220522 172240	-0.714923333324435	4600	470	10	5	9271000	198
20220522 172349	-0.0937731780027114	1306	514	20	5	10751000	199
20220522 172437	-0.698950491816961	1087	220	6	5	10412000	200
20220522 172534	-0.592029353961811	1013	499	8	5	10472000	201
20220522 172634	-0.766514555608183	1719	857	10	5	10296000	202
20220522 172725	-0.998699506112731	8000	1995	10	5	8355000	203
20220522 172827	-0.999917320826197	7995	334	14	5	8355000	204
20220522 172933	-0.675508217406386	1081	538	10	5	10325000	205
20220522 173038	-0.601167347937163	1792	896	20	5	10160000	206
20220522 173134	-0.479718151878003	3682	1839	18	5	8855000	207
20220522 173237	-0.437481447125909	1760	412	10	5	10539000	208
20220522 173326	-0.641411782235965	1746	872	6	5	10323000	209
20220522 173414	-0.77558411034131	842	414	6	5	10700000	210
20220522 173509	-0.329701534344615	523	254	7	5	10195000	211
20220522 173616	-0.630543842015091	2154	499	20	5	10219000	212
20220522 173700	-0.644560739835267	956	468	5	5	11148000	213
20220522 173829	-0.578282826651743	7994	1	20	5	8066000	214
20220522 173920	-0.276279950541317	7999	1548	11	5	8355000	215
20220522 173950	-0.257714247001122	7998	1	3	5	8355000	216
20220522 174023	-0.659244435405127	847	422	3	5	8692000	217
20220522 174131	-0.273016470001199	1282	2	10	5	9575000	218
20220522 174212	-0.629454168419557	7096	512	5	5	8214000	219
