fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220522 214038	1302	13	409	16	5	11907000	1
20220522 221333	1682	6	75	21	5	11227000	2
20220523 005124	2456	18	248	30	5	10536000	3
20220523 014632	545	28	198	43	5	8982000	4
20220523 025809	1571	14	326	24	5	11303000	5
20220523 034329	1986	17	166	11	5	11341000	6
20220523 075217	2238	27	108	47	5	8887000	7
20220523 075257	139	1	483	18	5	508000	8
20220523 090421	1217	10	404	39	5	11107000	9
20220523 090755	329	10	252	5	5	11453000	10
20220523 092319	731	4	145	33	5	10671000	11
20220523 094714	1043	20	24	10	5	10433000	12
20220523 105518	579	30	374	37	5	9632000	13
20220523 131555	2077	24	466	29	5	10652000	14
20220523 150351	939	21	43	49	5	8865000	15
20220523 151216	1865	7	287	2	5	8492000	16
20220523 153914	446	10	102	38	5	10869000	17
20220523 154021	101	17	412	2	5	10727000	18
20220523 154658	1009	12	177	2	5	10715000	19
20220523 155657	100	13	1	50	5	9319000	20
20220523 160705	253	5	1	50	5	10463000	21
20220523 161303	101	12	382	27	5	11103000	22
20220523 175616	2500	15	500	19	5	11488000	23
20220523 203156	1704	13	462	50	5	10963000	24
20220523 204800	2500	14	414	2	5	10726000	25
20220523 212351	1157	14	500	16	5	11729000	26
20220523 221711	1460	16	440	18	5	11643000	27
20220523 230137	1788	20	500	11	5	11637000	28
20220523 233520	983	10	232	22	5	11409000	29
20220523 233702	100	8	68	11	5	11317000	30
20220523 234750	1521	22	295	2	5	10853000	31
20220524 000456	2389	28	500	2	5	11007000	32
20220524 000742	371	26	500	2	5	10904000	33
20220524 005736	1600	12	500	18	5	11747000	34
20220524 013302	2500	3	1	33	5	10439000	35
20220524 022355	1471	13	456	19	5	11380000	36
20220524 030008	1293	16	383	14	5	11436000	37
20220524 030547	943	13	321	2	5	10687000	38
20220524 040840	1883	7	1	32	5	11388000	39
20220524 045258	1774	11	108	15	5	11577000	40
20220524 053425	2500	15	1	8	5	11378000	41
20220524 053653	101	11	393	13	5	11612000	42
20220524 070100	2498	23	500	16	5	11497000	43
20220524 074358	1453	12	405	17	5	11560000	44
20220524 081725	2487	10	1	8	5	11792000	45
20220524 092323	2500	9	47	19	5	11249000	46
20220524 093922	1487	10	1	6	5	11886000	47
20220524 094849	1601	7	1	4	5	10755000	48
20220524 103605	1890	11	1	15	5	11198000	49
20220524 105237	1228	10	105	8	5	11793000	50
20220524 123615	2500	6	125	48	5	10742000	51
20220524 150046	1733	17	500	40	5	10932000	52
20220524 161340	2499	21	419	14	5	11605000	53
20220524 162841	521	14	409	15	5	11566000	54
20220524 172256	2057	17	500	13	5	11594000	55
20220524 173916	2297	23	434	2	5	10959000	56
20220524 175633	2500	18	87	2	5	11046000	57
20220524 181914	670	21	423	16	5	11290000	58
20220524 182137	104	10	146	13	5	11633000	59
20220524 191528	2500	14	117	11	5	11448000	60
20220524 193345	2500	30	234	2	5	11010000	61
20220524 202228	2498	24	169	9	5	10991000	62
20220524 210517	1985	12	500	12	5	12021000	63
20220524 212502	1191	12	500	9	5	11949000	64
20220524 214348	2500	30	1	2	5	11631000	65
20220524 225744	1968	19	500	18	5	11461000	66
20220524 225843	100	30	53	2	5	11232000	67
20220524 231156	1778	27	1	2	5	11290000	68
20220525 000747	1717	30	1	15	5	8901000	69
20220525 003318	779	8	97	27	5	11458000	70
20220525 013208	2131	13	500	15	5	11709000	71
20220525 015948	1364	11	500	12	5	11840000	72
20220525 023122	1310	13	254	13	5	11729000	73
20220525 023855	101	10	294	50	5	11499000	74
20220525 040955	1186	13	289	43	5	11196000	75
20220525 043530	1194	12	500	12	5	11880000	76
20220525 045333	2464	28	88	2	5	11399000	77
20220525 045431	100	30	410	2	5	11128000	78
20220525 045529	100	27	215	2	5	10993000	79
20220525 050021	100	8	225	39	5	10746000	80
20220525 060433	2500	7	22	24	5	11419000	81
