fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220525 232414	1302	13	409	16	5	11158000	1
20220526 000005	1682	6	75	21	5	11347000	2
20220526 025401	2456	18	248	30	5	10378000	3
20220526 035523	545	28	198	43	5	9703000	4
20220526 051421	1571	14	326	24	5	11011000	5
20220526 060513	1986	17	166	11	5	11065000	6
20220526 104241	2238	27	108	47	5	8990000	7
20220526 104325	139	1	483	18	5	1886000	8
20220526 122038	1302	13	409	16	5	11158000	9
20220526 125723	1682	6	75	21	5	11347000	10
20220526 160622	2456	18	248	30	5	10378000	11
20220526 171401	545	28	198	43	5	9703000	12
20220526 183948	1571	14	326	24	5	11011000	13
20220526 193224	1986	17	166	11	5	11065000	14
20220527 001940	2238	27	108	47	5	8990000	15
20220527 002026	139	1	483	18	5	1886000	16
20220527 013844	1217	10	404	39	5	11085000	17
20220527 014216	329	10	252	5	5	11409000	18
20220527 015754	731	4	145	33	5	10774000	19
20220527 022400	1043	20	24	10	5	10568000	20
20220527 032112	579	30	374	37	5	10066000	21
20220527 055655	2077	24	466	29	5	10249000	22
20220527 094418	939	21	43	49	5	9008000	23
20220527 095330	1865	7	287	2	5	9380000	24
20220527 104037	694	10	120	37	5	11220000	25
20220527 111948	893	5	1	50	5	10569000	26
20220527 112455	682	12	165	2	5	10520000	27
20220527 112828	374	19	27	2	5	10459000	28
20220527 113441	102	10	251	32	5	10754000	29
20220527 114459	1633	10	1	2	5	9955000	30
20220527 120311	692	8	119	17	5	11846000	31
20220527 121022	823	19	368	2	5	11050000	32
20220527 151006	2374	8	128	50	5	10818000	33
