fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220528 212421	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	50	TRUE	999983	0.109208589256159	0.360013547809795	2775	839	0.0300894003531236	11034000	1
20220528 212433	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	18	TRUE	999983	0.235990157033433	0.62296605637297	1292	589	0.0227063187334958	11140000	2
20220528 212447	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	47	TRUE	999983	0.159998208486824	0.490345199527219	5698	653	0.0411668206526277	9715000	3
20220528 212504	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	109	TRUE	999983	0.0846539250283968	0.756827044123784	2956	1010	0.025731965599698	12220000	4
20220528 212531	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	28	TRUE	999983	0.0727776479825843	0.85640442754142	371	448	0.0249282919525285	10040000	5
20220528 212540	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	20	TRUE	999983	0.218746847917908	0.596336650177836	5284	325	0.0394509466539603	10069000	6
20220528 212556	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	92	TRUE	999983	0.0607737189159961	0.945934474226087	4511	499	0.0281500005459141	11716000	7
20220528 212606	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	17	TRUE	999983	0.265421852743952	0.795648923479021	1134	529	0.0199486304215194	11058000	8
20220528 212621	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	67	TRUE	999983	0.14182804087922	0.428860311852768	7587	377	0.0108691672120282	12418000	9
20220528 212652	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	128	TRUE	999983	0.0454818541021086	0.555940400976688	1911	62	0.0430865393966087	8771000	10
20220528 212701	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	37	TRUE	999983	0.275259442158975	0.906392715172842	3928	241	0.0493720738983636	7534000	11
20220528 212711	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	68	TRUE	999983	0.130019048636663	0.698696161843836	6578	744	0.0373864049824382	9830000	12
20220528 212722	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	39	TRUE	999983	0.189464928922011	0.242834900552407	4064	922	0.0138778567202583	13273000	13
20220528 212806	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	240	TRUE	999983	0.0382292513812426	0.445331968823448	2104	103	0.0167052618834229	13685000	14
20220528 212815	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	27	TRUE	999983	0.20628497922048	0.229960667556152	3507	313	0.0341821628127946	10775000	15
20220528 212824	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	24	TRUE	999983	0.24373540842603	0.318441795054823	6183	963	0.0477257505151404	7425000	16
20220528 212835	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	57	TRUE	999983	0.113469942620839	0.991711093001068	7157	813	0.00836186735784092	10875000	17
20220528 212841	binary	custom	TRUE	TRUE	FALSE	-100	103087	-1	0	0	0	31	14	TRUE	999983	0.289406668152427	0.810450050495565	5197	131	0.0162591224958305	12468000	18
