fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220529 042249	0	0	0	1	auto	depthwise	256	0	1	0.0102940040920756	0.713810859383497	10	30	0.0124180745182116	195	13863000	35
20220529 031621	0	0	0	1	auto	depthwise	256	0	1	0.0100235661073753	0.989012630044871	10	4	0.0134312493826221	556	13571000	32
20220529 151821	0	0	0	1	auto	depthwise	256	0	1	0.0100320170124855	0.716477234212262	10	27	0.0133182606091317	166	13556000	51
20220529 064737	0	0	0	1	auto	depthwise	256	0	1	0.01002740506415	0.417788353317352	10	30	0.0135750389338766	323	13508000	39
20220530 080333	0	0	0	1	auto	depthwise	256	0	1	0.0100593154104472	0.489374935587367	10	16	0.0128758997059601	172	13491000	77
20220529 013115	0	0	0	1	auto	depthwise	256	0	1	0.0100058952670711	0.916751236626152	10	12	0.0135710744649324	222	13483000	27
20220530 090048	0	0	0	1	auto	depthwise	256	0	1	0.0101192503541407	0.680044488269199	10	30	0.0127698576747326	194	13462000	83
20220530 122631	0	0	0	1	auto	depthwise	256	0	1	0.0226700688254616	0.762988399520749	9	30	0.01249281280899	96	13396000	85
20220529 001411	0	0	0	1	auto	depthwise	256	0	1	0.0672538495542249	0.232968851290643	6	4	0.0157624940189028	102	13388000	20
20220529 134704	0	0	0	1	auto	depthwise	256	0	1	0.0100373687620841	0.663532152436532	9	30	0.0125845854301883	191	13371000	45
20220529 055420	0	0	0	1	auto	depthwise	256	0	1	0.0100194462113008	0.50112170965672	10	27	0.0117916326136112	405	13349000	37
20220530 022020	0	0	0	1	auto	depthwise	256	0	1	0.0106327090068046	0.999738498122949	9	2	0.0153925653052333	839	13321000	59
20220529 135903	0	0	0	1	auto	depthwise	256	0	1	0.0294456983117181	0.996479869181217	7	4	0.0133097633763358	246	13310000	46
20220529 023947	0	0	0	1	auto	depthwise	256	0	1	0.0100246371007503	0.20139957666005	10	13	0.0137182759791192	532	13300000	30
20220530 073839	0	0	0	1	auto	depthwise	256	0	1	0.0103969039689741	0.373526364127442	5	30	0.0124794511841387	187	13272000	76
20220530 144952	0	0	0	1	auto	depthwise	256	0	1	0.0104059037874899	0.349030805850187	10	25	0.014485462680672	317	13251000	93
20220529 032353	0	0	0	1	auto	depthwise	256	0	1	0.0100328364099573	0.202972513354396	6	2	0.0134292953742295	972	13243000	33
20220529 021632	0	0	0	1	auto	depthwise	256	0	1	0.0101191641667735	0.998812665817866	9	14	0.0130891598886089	176	13235000	28
20220529 065658	0	0	0	1	auto	depthwise	256	0	1	0.0333252848115595	0.957942804819225	7	2	0.0137133693262635	273	13226000	42
