leaves	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220529 010835	0	0	0	1	hist	lossguide	256	0	1	0.0100633456504836	0.568781307215688	10	8	0.0147384455506928	644	13922000	79
20220528 234505	0	0	0	1	hist	lossguide	256	0	1	0.0101197524579148	0.573495737760379	8	6	0.0144275831006172	966	13919000	47
20220529 010407	0	0	0	1	hist	lossguide	256	0	1	0.298700083250294	0.547070912334649	8	2	0.0143692763361062	252	13814000	75
20220528 230634	0	0	0	1	hist	lossguide	256	0	1	0.0378957840153417	0.586496714092348	10	1023	0.0157187189697953	60	13785000	33
20220528 232317	0	0	0	1	hist	lossguide	256	0	1	0.0541501144808035	0.551752877055016	10	1024	0.0134900751673671	51	13727000	40
20220528 234828	0	0	0	1	hist	lossguide	256	0	1	0.0105526691553488	0.733520975016191	7	6	0.0140718677600188	832	13703000	48
20220529 021158	0	0	0	1	hist	lossguide	256	0	1	0.054974143943183	0.41033872650253	10	1024	0.0110895465958476	72	13695000	108
20220529 022829	0	0	0	1	hist	lossguide	256	0	1	0.0155990054455023	0.572474834235245	9	320	0.0147233408389287	139	13634000	116
20220528 232223	0	0	0	1	hist	lossguide	256	0	1	0.0100557159640921	0.633335648066613	10	1024	0.0151696927145312	278	13615000	39
20220529 002830	0	0	0	1	hist	lossguide	256	0	1	0.0100163790870353	0.276898047752072	10	620	0.0140126136449979	417	13601000	63
20220529 011420	0	0	0	1	hist	lossguide	256	0	1	0.0103189361346859	0.584554424846882	10	524	0.0148823894937585	263	13587000	85
20220529 010156	0	0	0	1	hist	lossguide	256	0	1	0.0103811395781165	0.577390606529305	10	1014	0.0135197163112273	212	13581000	72
20220528 231114	0	0	0	1	hist	lossguide	256	0	1	0.0101952035804997	0.402686162758514	10	1024	0.0140491245848614	242	13571000	35
20220529 015506	0	0	0	1	hist	lossguide	256	0	1	0.0103390353039297	0.201386524899817	5	3	0.0141215271792821	1935	13556000	100
20220528 225228	0	0	0	1	hist	lossguide	256	0	1	0.0101051687315987	0.69392016721492	10	6	0.0148765941378253	794	13541000	29
20220529 010524	0	0	0	1	hist	lossguide	256	0	1	0.299802739497538	0.559921248327335	10	2	0.0154013032439519	164	13479000	78
20220529 012050	0	0	0	1	hist	lossguide	256	0	1	0.0109909673500495	0.785371935005113	10	44	0.0140179650620659	267	13467000	88
20220529 020320	0	0	0	1	hist	lossguide	256	0	1	0.0100852683301624	0.345570409599189	10	698	0.0115953274312293	485	13444000	104
20220529 000945	0	0	0	1	hist	lossguide	256	0	1	0.0100166314199361	0.578683865362289	8	1019	0.0132361016959356	237	13422000	56
20220529 023240	0	0	0	1	hist	lossguide	256	0	1	0.0145587879685135	0.605112071267873	10	739	0.0147685430152955	146	13398000	119
20220528 224846	0	0	0	1	hist	lossguide	256	0	1	0.0101306671358571	0.793358935970898	10	1024	0.0106375897768848	401	13394000	28
20220529 014525	0	0	0	1	hist	lossguide	256	0	1	0.0102554977554318	0.86074079555979	10	1024	0.0146208742454957	259	13360000	96
20220528 224425	0	0	0	1	hist	lossguide	256	0	1	0.0103178571362019	0.778397064141959	7	1024	0.0135726967475707	205	13336000	27
20220529 003321	0	0	0	1	hist	lossguide	256	0	1	0.0100261903435419	0.602457855712098	7	625	0.0138024572805508	266	13329000	65
20220529 014624	0	0	0	1	hist	lossguide	256	0	1	0.154648339103877	0.200035849235269	7	2	0.0149723490788407	395	13323000	97
20220529 010939	0	0	0	1	hist	lossguide	256	0	1	0.298399739854723	0.571193681912846	9	2	0.012901961947539	104	13321000	82
20220528 235212	0	0	0	1	hist	lossguide	256	0	1	0.0100670793740474	0.504392504974064	10	382	0.0145094790954926	352	13315000	49
20220529 002005	0	0	0	1	hist	lossguide	256	0	1	0.045426083272636	0.601154970549035	6	1024	0.0125873565960413	38	13294000	61
20220529 000239	0	0	0	1	hist	lossguide	256	0	1	0.0100396192934526	0.539223428554286	8	150	0.0133744431031568	196	13292000	54
20220529 004308	0	0	0	1	hist	lossguide	256	0	1	0.0103318132884655	0.817829548086599	6	665	0.0117053995397276	224	13276000	67
20220529 010327	0	0	0	1	hist	lossguide	256	0	1	0.205822923363188	0.426463941829139	8	3	0.0141292831352096	116	13274000	74
20220528 225609	0	0	0	1	hist	lossguide	256	0	1	0.0100079364285731	0.745807285065204	10	241	0.0116720022707811	324	13258000	30
20220529 010252	0	0	0	1	hist	lossguide	256	0	1	0.0541552979843033	0.380920931537135	10	606	0.0145178882011792	65	13243000	73
20220529 001258	0	0	0	1	hist	lossguide	256	0	1	0.0103004172922897	0.860684947630987	10	434	0.0138838167200788	209	13234000	57
20220529 002411	0	0	0	1	hist	lossguide	256	0	1	0.010493851428132	0.203053396117063	10	1024	0.0111458636607211	487	13202000	62
20220528 231514	0	0	0	1	hist	lossguide	256	0	1	0.010279796203893	0.531416488806649	10	637	0.0172389834464778	324	13194000	37
20220529 014954	0	0	0	1	hist	lossguide	256	0	1	0.0104276356236129	0.737718395440257	10	404	0.015009308326712	153	13185000	99
