Feature	Gain	Cover	Frequency
ctrx_quarter	0.097445011728757	0.0473063008246354	0.0387759042347793
mpayroll	0.0639249293924382	0.0447862542349982	0.0132578195391942
cpayroll_trx	0.0582850086228031	0.0270614665939474	0.005213026129489
mpasivos_margen	0.0555824474564787	0.0272858961893803	0.0325009653752092
mcaja_ahorro	0.0545250927137202	0.027481862126379	0.0325009653752092
mtarjeta_visa_consumo	0.0542675120513685	0.0265540100058029	0.0288003604067448
mcuentas_saldo	0.0321899233744179	0.0325052928602919	0.035590166044536
mrentabilidad_annual	0.0316726227008637	0.0236871487939478	0.0270626850302484
Visa_msaldopesos	0.0282213701914287	0.0223647903379652	0.0216244046852877
mactivos_margen	0.0258688298922399	0.0280723403001284	0.0277062685030248
Master_fechaalta	0.0235849054826216	0.0335008230715412	0.0387759042347793
mprestamos_personales	0.0206514609351695	0.0202016747498485	0.00736903076329
Visa_fechaalta	0.0174088843401466	0.0128902869665088	0.0216565838589265
ctarjeta_visa_trx	0.0173817861881102	0.0111386706344354	0.0126464152400566
mrentabilidad	0.0168298093313413	0.0127587460041906	0.0189535332732655
numero_de_cliente	0.0159073008646484	0.0139135771008961	0.0200154460033466
Visa_msaldototal	0.0149560901982055	0.0237731461323678	0.0258076972583344
chomebanking_trx	0.0148602248544078	0.0145191199310634	0.0158321534302999
Master_Fvencimiento	0.0146332705008441	0.019562106244334	0.0219783755953147
mcomisiones_otras	0.0144542675377829	0.0125346985207949	0.0202728793924572
cliente_edad	0.014186311630952	0.0193589052593407	0.0209164628652336
ctarjeta_visa_trx2	0.0137989024550901	0.00979775982760993	0.0122924443300296
mcuenta_corriente	0.0136933487924533	0.0157105098551157	0.0148345990474965
Visa_Fvencimiento	0.0130830336987008	0.0109164024063174	0.0175376496331574
Visa_mpagominimo	0.0130726258607969	0.0158663496021959	0.0193075041832926
Visa_mpagospesos	0.0130426890438719	0.014295830770398	0.0174089329386021
mcomisiones	0.0129401353037195	0.0112044307882422	0.0195005792251255
cliente_antiguedad	0.0125509295487757	0.0123319017778795	0.0180203372377397
Visa_mconsumospesos	0.0122575315426304	0.0114264541105758	0.0202407002188184
mcaja_ahorro_dolares	0.0114721343891715	0.0202752969694716	0.0200798043506243
Master_mfinanciacion_limite	0.00972204852727269	0.0103041969585431	0.0149633157420517
Visa_mfinanciacion_limite	0.00954210169348825	0.00944489337691033	0.0130003861500837
ccomisiones_otras	0.00938553237085214	0.0169174276911061	0.0185352040159609
mautoservicio	0.00936459100623794	0.02279110639397	0.0264512807311108
mtransferencias_recibidas	0.00840549310396566	0.0083717368839951	0.0133221778864719
cprestamos_personales	0.00765643430561051	0.00320534166072014	0.00254215471746686
Master_mlimitecompra	0.00736865772666806	0.00824514124812028	0.0116488608572532
Visa_mlimitecompra	0.00722364007374887	0.0131178044402968	0.0111661732526709
Visa_mconsumototal	0.00684930170180075	0.00740991367550581	0.0129038486291672
active_quarter	0.00625545472112371	0.000363390022752264	0.00032179173638821
mtransferencias_emitidas	0.00613353276160516	0.00710141795654376	0.0109409190371991
Master_mpagospesos	0.00601807693580341	0.0189658786859934	0.00958939374436864
mtarjeta_visa_debitos_automaticos	0.00583482355183488	0.0062178937829597	0.0103616939117003
mcomisiones_mantenimiento	0.00557605060512555	0.00710596494225332	0.00633929720684773
mpagomiscuentas	0.00537980957581492	0.0115873926190486	0.00865619770884284
ctarjeta_debito_trx	0.00513578827771622	0.0158895035261823	0.0204015960870125
cproductos	0.00440067482863541	0.00430169781303929	0.00556699703951603
mcuenta_debitos_automaticos	0.00417877144686479	0.00836787445421326	0.00949285622345218
Visa_mpagado	0.00379714158436765	0.0104058874465389	0.00695070150598533
ccaja_ahorro	0.00346334162266975	0.0108975933470016	0.00379714248938087
Master_msaldopesos	0.0033185243475414	0.00524892552197482	0.00492341356673961
ctransferencias_emitidas	0.00323278522594971	0.00462966354186803	0.0047625176985455
ccomisiones_mantenimiento	0.00312386215641035	0.0123716915911783	0.00524520530312782
ctransferencias_recibidas	0.00307768515461531	0.0080566139554914	0.00440854678851847
Master_msaldototal	0.00304881395435967	0.00424692743747738	0.00498777191401725
Visa_cconsumos	0.00301896629851472	0.00321595522827192	0.00559917621315485
ccaja_seguridad	0.00249155226345179	0.00736535852676188	0.00209164628652336
